disaster_id,year,event_name,location,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,associated_disaster,associated_disaster2,country_name,country_iso3,start_isodate,end_isodate,no_killed,no_injured,no_affected,no_homeless,total_affected,total_dam_usd
1991-87,1991,Taal,Balangas province,Natural,Geophysical,Volcano,Volcanic eruption,,,,Philippines,PHL,,,0,0,0,3800,3800,0
1991-79,1991,Poon Bato,Zambales province,Natural,Geophysical,Volcano,Volcanic eruption,,,,Philippines,PHL,1991-4-5,1991-4-5 ,0,0,0,2000,2000,0
1992-505,1992,,,Natural,Hydrological,Flood,,,,,Philippines,PHL,,,0,0,52800,0,52800,0
1992-493,1992,,Region XI,Natural,Hydrological,Flood,,,,,Philippines,PHL,,,19,0,58093,162,58255,0
1992-492,1992,Omar (Lusing),Luzon Isl.,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1992-8-31,1992-8-31 ,11,1,171603,1965,173569,0
1992-491,1992,Gloring,"Regions III, IV and NCR",Natural,Meteorological,Storm,,,,,Philippines,PHL,1992-8-16,1992-8-16 ,26,0,725956,7140,733096,0
1992-296,1992,Gary,Regions III and NCR,Natural,Meteorological,Storm,Tropical cyclone,,Flood,Landslide / Mudslide,Philippines,PHL,1992-7-20,1992-7-20 ,42,77,134417,0,134494,0
1992-295,1992,Eli (Konsing),"Aurora, Zambales, Nueva Ecija, Nueva Vizcaya, Pangasinan, La Union, Benguet, Ifugao, Isabela, Tarlac provinces",Natural,Meteorological,Storm,Tropical cyclone,,Shipwreck,,Philippines,PHL,1992-7-11,1992-7-12 ,22,0,5135,0,5135,0
1992-294,1992,Influenza,,Natural,Biological,Epidemic,Viral Infectious Diseases,,,,Philippines,PHL,1992-3-15,1992-3-15 ,70,0,0,0,0,0
1992-57,1992,,"Abra, Benguet, Mt. Province, Ilocos Norte, Ilocos Sur, Bataan, Bulacan, Pampanga, Zambales, Pangasinan, Tarlac, Cavite, La Union, National Capital region",Natural,Hydrological,Flood,,,Landslide / Mudslide,,Philippines,PHL,,,60,13,942764,0,942777,149965353.23
1992-30,1992,Taal,Lake Taal (55 km South Manilla),Natural,Geophysical,Volcano,Volcanic eruption,,,,Philippines,PHL,1992-2-14,1992-2-14 ,0,0,1578,0,1578,0
1993-298,1993,,Leyte,Natural,Meteorological,Storm,,,,,Philippines,PHL,,,28,0,0,70000,70000,80441339.35
